#separator:tab
#html:true
#notetype:MTG Text Box
#deck:Main::MTG::Avatar: The Last Airbender
#columns:Front	UUID
Firebending Lesson	fa940e68-010e-4b68-be8a-555d7068f7b4
Waterbending Scroll	50d0be73-a2c8-44a0-9178-9949f342f6f9
Wandering Musicians	3da81dbd-dc80-47ff-a33b-270d23a24e0a
Pirate Peddlers	5c998994-6c3b-4f34-9b31-babba2b17266
Zuko's Conviction	ad8933d6-cdc7-4d60-a78e-b43ffecfb136
Team Avatar	a9a5f6f7-f04d-477f-b67f-fd01a5dcc0f5
Lo and Li, Twin Tutors	cba9260d-ef07-4429-99f9-6004cc1fea0f
Meteor Sword	68b1c746-a4b8-4a45-9f0e-3962f0ae40e3
Rumble Arena	3f5d2c38-663c-4f64-8cfc-c102462e82ef
Air Nomad Legacy	10874416-fa4c-4aa3-b885-4351d011d208
Foggy Swamp Vinebender	78a75317-94f7-47a4-b4da-5a027fa73248
Boar-q-pine	087a445c-5f63-45d6-83e8-20d22650db20
Ruinous Waterbending	53161747-c82b-41e8-90ea-7791ea262a85
Canyon Crawler	30a30bfb-f0f3-425b-b37d-20079ee27046
Accumulate Wisdom	a6335319-6c92-40d4-ab2d-c06c79049c30
Vengeful Villagers	8cabb6ed-5c80-4dab-b96c-9d4d9fe72db7
Water Tribe Captain	0a0cdf97-1927-47c6-8ef1-29969e3567ee
Curious Farm Animals	2402d759-84b6-41d2-ad78-9333974e9222
Kyoshi Battle Fan	257e6862-96fe-4312-aff2-509d0696843a
Joo Dee, One of Many	7ae1439f-a0c4-42c2-a4f3-8851defa981e
Airbender's Reversal	6b7078e4-2892-4b5f-83ab-90369e0d6dba
Hermitic Herbalist	5d0ee441-a057-41b5-abb8-dc86864ac248
Messenger Hawk	6a2946c0-0a40-4cdb-92c8-af2bafecca09
Walltop Sentries	e55f1c63-58f6-4e2b-aaeb-f2d5faca47a2
Rockalanche	52b213d3-6f68-43e6-91e9-435d8fe1f34c
Swampsnare Trap	6348b6bf-08a7-45f0-8b2d-2827ab89f21c
Foggy Swamp Hunters	3f6e5869-ca25-4b98-a844-8a498cb40aab
Knowledge Seeker	8554e862-f78a-42f5-b876-076aac6c9504
Crashing Wave	9fd02eb4-1ef5-4a14-89a8-b25e720e8016
Benevolent River Spirit	7ffb79cd-d170-4047-89c8-6e85188f30da
Kyoshi Warriors	211045e1-85c7-4088-b830-a2afa0fe520b
Invasion Reinforcements	b8845bba-d116-43cd-8ae0-e553f3324d66
