#separator:tab
#html:true
#notetype:MTG Text Box
#deck:Main::MTG::Dominaria United
#columns:Front	UUID
Nishoba Brawler	2ef6cb5f-0ab3-4652-9b39-c2cbf6d693d5
The Weatherseed Treaty	e2a54461-1f75-4304-b6d7-635171419456
Wingmantle Chaplain	f5800f3d-b2e0-4c74-94bf-f29b27f82130
Tatyova, Steward of Tides	0d446cb9-519a-4889-b057-029db9400021
Phyrexian Missionary	7f22fcfa-a5f0-4fae-b578-cdfd7d46a4c8
Micromancer	b21203c8-a935-4ce0-a742-148587e32145
Protect the Negotiators	bb6db604-8bbe-4719-88bd-f3cad8c4725d
Knight of Dawn's Light	b7c7a54e-4df6-4745-8bae-aeefda934d82
Tolarian Geyser	5dd5f389-fea2-4aed-a218-eca162902775
Shield-Wall Sentinel	7e57e1d7-da1d-4a2b-867f-85b8331b7bbc
Elas il-Kor, Sadistic Pilgrim	1c3f0ffe-cf51-4c30-8cd5-9e3c7e92c019
Prayer of Binding	322f90b6-6b49-458d-9d5b-b601bfdd0af8
Take Up the Shield	851e842e-a497-4c36-90ee-8d64f806c378
Rona's Vortex	bdf96533-f28a-4465-893b-0c9394d5b8d7
Balmor, Battlemage Captain	959ba62e-bb3a-49ad-8b1b-e787e413e5d4
Sprouting Goblin	602f5370-d096-4765-b612-16bcec3aafa7
Destroy Evil	4f7862ef-2c8d-4d28-9e50-7cc41861f245
Fires of Victory	c58096e5-3cd4-4edd-b71a-3bdb47ab2536
Walking Bulwark	602d163c-d341-4b3b-9d3c-5d3419e9b10b
Argivian Cavalier	57746e72-ba9f-4717-a4a2-6c6a039080c3
Knight of Dusk's Shadow	33dfd2fe-e0e0-465c-b730-a30e6f5c271c
Yavimaya Iconoclast	1b1af9be-7f5e-48e9-a6e7-9261e199812e
Territorial Maro	853ddf31-826b-411e-9b6d-75d53cdd1b84
Hurloon Battle Hymn	ff252e80-c155-467b-8df3-9bddc5cc45c3
Mossbeard Ancient	7e528d36-cea6-4013-83d5-ba837d570713
Keldon Strike Team	4af4031e-b14e-4568-b047-b3d470d9b18e
Tear Asunder	629aa907-9533-4681-9bf2-9e56450a4cc2
Essence Scatter	b7ad4441-e300-4267-bedb-4ae6a64f59cd
Phyrexian Espionage	0b983366-385f-41a3-aa46-20151e68d140
Vohar, Vodalian Desecrator	807c7812-c108-45a7-a5b2-08cc693bc500
Raff, Weatherlight Stalwart	cc0cba4c-d9f0-421f-acf4-ab1adcd59c80
Extinguish the Light	01a51d08-f90e-4b72-8dce-fb2a6c72f181
Impulse	5aec2b2c-0764-4869-814d-aad921122af9
Lightning Strike	7d541125-bfb8-4f88-8bf3-ad7b6af7ad1d
Resolute Reinforcements	3e11ad33-b9d7-43ef-840a-61955683b599
Tail Swipe	95a39b26-8c83-40ea-b492-036251366d73
Cut Down	753db072-5d6a-4f37-8f7d-255572ecd3bd
Cult Conscript	fed77513-94ab-44e2-b9a1-30ba927cd6ee
Talas Lookout	0a4b9afe-aeb7-4c56-8a22-96e19a7a938c
Clockwork Drawbridge	037cb79c-163d-4b36-bd93-954eca8fe26e
Gaea's Might	89c46e9c-ae7c-466c-bb11-4f4d01ea7a63
Tribute to Urborg	31274707-3e16-4f46-8450-6927d936064b
Meria's Outrider	48aa964f-99b5-4b6b-b158-42f39514c910
Bortuk Bonerattle	9a25855f-abfc-482d-a36b-088b023a7df6
Love Song of Night and Day	1e08d288-2f09-4856-a9ed-cc8aa8d953d7
Urborg Repossession	ecb8dab0-ecce-4321-b382-c58b296c2fd3
Citizen's Arrest	9806370b-51e3-4144-a847-6b367fb937ef
Coral Colony	9c0e3882-1f97-48eb-b9e3-2f9683ff5897
Electrostatic Infantry	5ed2d72f-f1cf-45a7-adf7-969f531721ce
Baird, Argivian Recruiter	1f643d78-d8d8-4645-9357-a68ebd0d3517
Ertai's Scorn	6129b0d3-b50a-4a4b-9111-39f8fc6718dd
Vineshaper Prodigy	545cddde-8018-4fdd-874d-b5193b73b414
Tolarian Terror	42f01cba-43d4-46ad-b7a5-d7631b0e1347
Battlewing Mystic	000376ef-8b6c-490d-98cb-d6de15b2e585
Blight Pile	0dcc2699-03e6-47d1-b976-1453fe9d27b7
Sunbathing Rootwalla	7ae6f015-2ad6-4b8e-8590-c2c2d01b6d98
Benalish Sleeper	f96089ea-20cf-496d-84a6-9b660c2ef672
Uurg, Spawn of Turg	dd3fc36c-682b-4352-a66f-eddd2baf0bf6
Phyrexian Rager	6fd574e7-705f-4a65-aad0-68ff6d63bf0f
Frostfist Strider	40141353-c0d6-4529-b26a-34dfccbcf231
Magnigoth Sentry	d939d4bc-b7e8-4ee8-b904-68f0bff0fde1
Bite Down	0eacd3de-b803-4322-8d88-d533761aa748
Shadow Prophecy	bb078448-9e9f-4994-8aff-7e7c4fb62efc
Nael, Avizoa Aeronaut	5da59e8f-cbe5-4c14-a5a9-28d56048dc23
